Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;2,025.75;1,915.75;0.00;217.25;-1,321.75;950.50;-372.25;1,274.00;-159.00;156.25;0.00;0.00;-56.00;1,228.75;-555.00;0.00;-2,539.00;881.00;0.00;1,366.25;0.00;0.00;-961.00
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;2,245.00;1,779.75;0.00;178.75;-1,191.25;1,260.75;-387.00;885.00;-204.00;27.00;0.00;0.00;-285.00;985.00;-465.75;0.00;-2,510.00;757.00;0.00;1,367.75;0.00;50.25;-3.25
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;2,412.50;1,375.00;0.00;234.25;-954.50;1,523.00;-394.50;812.00;-109.00;65.25;0.00;0.00;-304.00;1,291.50;-492.75;0.00;-2,656.00;946.00;0.00;1,398.00;0.00;0.00;-321.75
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;3,730.25;1,714.25;0.00;277.00;-705.75;1,353.00;-403.00;947.00;-25.00;127.50;0.00;0.00;-27.00;1,477.75;-541.50;0.00;-2,668.00;977.00;0.00;1,397.75;0.00;0.00;-170.75
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;3,209.00;2,023.25;0.00;219.75;-602.25;1,494.00;-425.25;733.00;-172.00;183.75;0.00;0.00;0.00;1,300.25;-472.50;0.00;-2,615.00;883.00;0.00;1,358.50;0.00;0.00;-699.50
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;3,740.00;1,025.75;0.00;218.50;-617.25;1,835.25;-459.75;1,170.00;-380.00;71.50;0.00;0.00;0.00;1,242.00;-426.25;0.00;-2,649.00;837.00;0.00;1,367.75;0.00;504.50;0.00
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;2,430.25;634.00;-45.75;391.50;-306.00;1,436.25;-514.00;1,138.00;-759.00;0.00;-43.25;0.00;0.00;1,294.50;-548.50;0.00;-3,198.00;962.00;0.00;1,398.25;0.00;590.25;0.00
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;2,485.75;418.50;-656.50;493.75;-116.00;2,288.50;-420.00;1,237.00;-1,058.00;4.50;-5.75;0.00;0.00;1,462.50;-664.75;0.00;-2,798.00;981.00;0.00;1,399.25;0.00;3.50;-83.75
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;4,237.00;1,456.25;-1,075.25;683.00;0.00;2,419.25;-206.75;1,269.00;-1,246.00;135.50;0.00;0.00;0.00;1,575.00;-608.00;0.00;-2,133.00;1,092.00;0.00;1,399.50;0.00;0.00;-523.50
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;4,597.00;1,437.50;-898.75;646.50;-59.25;2,568.75;0.00;1,288.00;-1,208.00;109.50;0.00;0.00;0.00;1,532.00;-581.75;0.00;-2,392.00;1,117.00;0.00;1,399.50;0.00;0.00;-362.00
